example,label
"@OGMgovtr #Yeşilvatan  Büyük emeklerle,  nice kahramanlıklarla büyük mücadele verildi ve afet durduruldu. Artık yaraları sarma zamanı. Bu millet bunu da başaracak güçtedir. Bundan hiç şüphemiz yok.",not manipulative
Siz hâlâ covid dinine iman etmediniz mi ? O halde cezalısınız ! #PcrDayatmasıDurdurulsun,manipulative
Sayın @enginozkoc başka bir egemen güç derken kimi kastettiniz? Kimlerden medet umudunuz? AB? ABD? Yada taşeronları PKK/PYD/YPG? sizi sandığa gömeceğiz.. Ha bide unutmadan söyleyelim. Topunuz gelin!! #MinnettarızERDOĞAN,manipulative
@izmirgibi #ProtestoEdiyorum #Afganistan #DersAlalım,unusable
@USEmbassyTurkey Size 20 yildir hizmet eden Hain Afgan Piclerinizi kendiniz sahip cikin!,manipulative
അ​ഫ്ഗാ​നി​ലേ​ക്ക് പ്ര​ത്യേ​ക വി​മാ​ന​ങ്ങ​ൾ​ക്ക് അ​നു​മ​തി തേ​ടി ഇ​ന്ത്യ  #Afgan #FLIGHT #India #Afganisthan   https://t.co/3szfoEZVVg,unusable
#İlDışıİptalHakkıVerilsin #PcrDayatmasıDurdurulsun #FBvHJK  #HayırlıCumalar #MinnettarızERDOĞAN Bobby Buğra Kavuncu Muhammed Gümüşkaya Sosa cryptoisland group  https://t.co/LD5OlL47Fc,unusable
@dogtrain_ Afgan kılığına girip sızmalı,manipulative
"@Ferasettin06 ABD nin Afganistan'dan cekilmesi yenilgi değil, planlı şekilde Yeni (ABD) küresel güç Çin'e alan açmaktır! Afganistan'ın maden zenginlikleri ham madde sıkıntısı çekmesin diye Çin'e bırakılmıştır! Olan sadece Afgan Halkına olmuştur!!!",not manipulative
Ne oldukları nereden geldikleri belli olmayan kaçaklara test aşı yaptırın önce sonra söz her gün test yaptıracağım #samimideğilsiniz #PcrDayatmasıDurdurulsun,manipulative
"Kahramanmaraş'ta orman yangınına müdahale eden yangın söndürme uçağının düşmesi sonucu hayatını kaybeden 5 Rus ve 3 Türk mürettebata Allah'tan rahmet diliyorum. Ailelerinin, milletimizin ve Rus halkının başı sağ olsun.  https://t.co/47VAmoA4Tb",not manipulative
#dolar  #enflasyon  #faiz #işsizlik  #altın #borsa #BTC #ProtestoEdiyorum #pazartesi  #salı #carsamba  #Persembe #cuma #cumartesi  #pazar  https://t.co/yPVTeMjOZ3,unusable
Kahramanmaraş'ta yangın söndürme uçağı düştü  https://t.co/tx2nQYbJZx Orman Genel Müdürlüğü tarafından Rusya'dan kiralanan ve Adana Orman Bölge Müdürlüğü hizmetinde kullanılan yangın söndürme uçağ...  https://t.co/G3ngFZFS1J,not manipulative
@TimesNow Don't worry Chief Minister of UP Afgan women are more safer in Afghanistan than their Indian counterparts in UP.,unusable
Mezuniyet töreninde hükumet propagandası yapan AKP valisi ve AKP millet(!)vekili. Konuşmalar aynı. 1-Afgan kardeşlerimiz 2-Her şeyin siyaseti olmaz 3-Beş yıldızlı yurt yaptık  4-Dış mihraklar  5-200 küsür üniversite kurulmasının savunulması 6-Reisi en çok benim sevmem Ve kapanış.,not manipulative
#MinnettarızERDOĞAN @DidemAyris  @LALE1511_55 @RTE_Simurg  @Olur2525   @PinaraydannP    @Murato_1453   @42G_ko    @gercekci87  @mer50706096   @zab1453   @kayaUFK2  @Tug_2023_  @SercanTAYTAS @MELHHakanBatrk1 @ytastan38  @Mustafabaskan66 @gamze__aydin  @selimkeskin19  @SeyitBilgi4  https://t.co/1tdeGs0zIj,unusable
#İlDışıİptalHakkıVerilsin #PcrDayatmasıDurdurulsun #FBvHJK  #HayırlıCumalar #MinnettarızERDOĞAN Bobby Buğra Kavuncu Muhammed Gümüşkaya Sosa cryptoisland group  https://t.co/rVaMUeKbl1,unusable
Böylece Afgan kadın diye bir şey olmadığı efsanesi de sona erdi 😆,manipulative
@Zahrah40291660 @maspiyuaja @IskandarMocht16 Pasti byk kadrungers yg bakalan ke afgan😃,unusable
@kartalselcuk26 @fatihtezcan Muhalefet Afgan mültecilerin ülkeye alınmasına karşı sen bence karşı değilsin  Ama hdp ve akp  karşı değil kapilar sonuna açılmali diyor 🙂 Senin ben muhalefet karşı ise düşünülmeli diyen kafanı gondikliyim,manipulative
@Su55Uz @MSC21_ @meryem24223808 @hedef2023_1 @hasanunalll @Uilliam676 @cumhur077 @reisci_001 @hedefimiz4107 @BeyazDilekcee @Zeynep_Sohni @42Kny_ @__ONUR__10 @Muhammed7325 @mir__bey__10 @mer50706096 @k_1453_1071 @hilaltasdelen5 @VLDNSVM33 @AYARSIZ_28 @SokaktakiBilge @cumaotur14 @yorgunn54 @TatarFerruh @Muhslihiddinyi1 @Nuro_81 @Ramazan34351 @vatanmillet0571 @yorukoglu_efele @BaykanSapduzen @Ask_Sehri__ @LALE1511_55 @Olur2525 @PinaraydannP @Murato_1453 @42G_ko @gercekci87 @zab1453 @kayaUFK2 @Tug_2023_ @SercanTAYTAS @MELHHakanBatrk1 @ytastan38 @Mustafabaskan66 @RTErdogan #MinnettarızErdoğan,unusable
@haskologlu Afgan mahallesi yapabilirler,not manipulative
Yaralarımızı Birlikte Sarmaya Devam Ediyoruz İlçemizde meydana gelen yangın felaketi sebebiyle etkilenen vatandaşlarımıza yardım amacıyla  gönderilen saman ve hayvan yemlerinin dağıtımı İlçe Müdürlüğümüz  tarafından  gerçekleştirildi. @engin1536 @barissaylak  @bekirpakdemirli  https://t.co/YchJs4veHQ,not manipulative
"@Jonsmoke1905 Hocam ""Afgan halkına it kadar değer vermeyen"" deseydin bu şekilde Afgan halkına it kadar demişsin gibi olmuş. Yaşanan tam bir dram gerçekten.",not manipulative
#İzmir'de orman yangını! Müdahale başladı #İzmir’in Karaburun ilçesinde ormanlık alanda yangın çıktı. Ekiplerin yangına havadan ve karadan müdahalesi devam ediyor. Kaynak: t...   https://t.co/5wtJWB6nmu  #İzmir #Türkiye,not manipulative
"ABD'den 3 adet Afgan multeciye sıgınma, bu sanslı 3 Afgan kim? Satte kacta gittiler? Meslekleri ne? Tıkla ogren? Bu afganlar kim, nereye gittiler, meslekleri ne? Tıkla ogren...",not manipulative
War stimulans: 1. pervitin (german soldiers)  2.opium (afgan)  3.khat (houthi)  4.captagon (IS)  https://t.co/knaT8QxKCk,unusable
@TalipGeylan06 Haftada 2 PCR testiyle aşıya zorlama anayasaya aykırıdır #PcrDayatmasıDurdurulsun,manipulative
"@sogultuna Askerleri, Afgan halkında olabilecek olası salgın hastalıklardan kurtarmak için mesafe tutmaya çalışıyorlardır.",not manipulative
@SahendeBen @elitlife2 @once_vatanRte @Hanimm_aga @ZehraErdogan65 @_EsRa_83_2023__ @istanbulkedisi2 @DidemAyris @IkbalKoray @ozlemyksl19 @eminuk55 @ilyasbozkurt_27 @mithat_asc @yunus_arslan_ya @sakarpapatya @TAN_3101 🇹🇷👍🙋‍♂️  #MinnettarızERDOĞAN 🇹🇷🇹🇷,unusable
Her şey bitti şimdi de Afgan seviciler çıktı başımıza alın evinizde besleyin madem bu kadar seviyorsanız lütfen,manipulative
Ateistlerin ve deistlerin sayısını arttırıp aslında dinin nelere sebep olduğunu azıcık akıl sahibi olan insanlara gösterdiğin için #MinnettarızERDOĞAN,manipulative
Benim tek minnet duyacağım kişi ektedir tag'de değil. #MinnettarızERDOĞAN  https://t.co/URQgoxFiEr,not manipulative
"Amerika, vietnam savaşından sonra yetim vietnamlı bebekleri amerikaya kaçırmıştı. Ve o bebekler büyüyünce amerikan askeri olarak ırak savaşında savaşmışlardı. Anlaşılan aynısı afgan bebekler için de geçerli olacak...",not manipulative
"#SonDakika   🔴#Kahramanmaraş'ta çıkan orman yangınına havadan müdahale eden yangın söndürme uçağı düştü  🔴Kazayı 112'ye bildiren köylüler, o anları kaydetti.  https://t.co/ypb9o9oDgA",not manipulative
"#PcrDayatmasıDurdurulsun DSÖ terör örgütünün uygulaması bu,kızım Almanyada hergün ofise girerken PCR testi yapıyorlardı,kendi kendilerine,sonunda sözde ""Aşı""olmak zorunda kaldılar @OpDrBilgehan @ArslanBulut9  #MinnettarızERDOĞAN 😡😡",not manipulative
R.T.E sadece bu toprakların değil tüm Müslüman aleminin umududur.  #MinnettarızERDOĞAN  https://t.co/SmEc0S7lzV,not manipulative
"@YelizzKoray Kızmak anlamsız, Afgan mültecileri alması gereken onları 20 yıl süren anlamsız bir işgalin ardından, uçaktan düşerek parçalanmayı göze alarak kaçmak zorunda bırakan başta ABD ve İngiltere’dir. Türkiye sürekli göçmen ambarı olmaya soyunmasa tabii…",not manipulative
Kadıköy’deki maça bu slogan damga vurdu: Ülkede mülteci istemiyoruz! Diyorlar araştırsan soylarını soplarını alayı mülteci çıkar.  #MinnettarızERDOĞAN  https://t.co/9vbpPPO1jz,manipulative
@zekibahce #MinnettarızERDOĞAN ...,unusable
@PsykopatAyLiN @GrupBaskan #MinnettarızERDOĞAN,unusable
Afgan İslam Emirliği terör devletidir.,not manipulative
Afgan devlet yetkilileri THY uçağıyla Türkiye’ye getirilmiş  https://t.co/bILA7NxAXO  https://t.co/SeVCDp8nvE,not manipulative
Sen Allahın bir Lütfusun Seni sevmeyenler Kudursun #MinnettarızErdoğan Sen bu Milleti Şaha Kaldırdın @RTErdogan  https://t.co/bej6xXUI2h,manipulative
"Cumhurbaşkanı Recep Tayyip Erdoğan:""Ülkemizdeki Afgan sayısı 300.000,  Türkiye’de 3,6 milyonu Suriyeli olmak üzere 5 milyona yakın mülteci var.""  Mülteci deposu olmuşuz..  https://t.co/AgIiR0mO6V",manipulative
"@john_sipher Such an ideotic cooment against pakistan without knowing the reality, people of afgan did retaliate coz they were fed up by allied forces, and afghan forces left coz they were corrupt and politicized  https://t.co/ymoOLMZA76",unusable
Boş şehir/ Afgan ve Tacik halklara..!,not manipulative
Afgan İslam Emirliği terör devletidir.,unusable
